Stations_id;von_datum;bis_datum;Stationshoehe;geoBreite;geoLaenge;Stationsname Bundesland;Abgabe
00837;20040701;20250506;244;50.2863;8.2949;Camberg, Bad;Hessen;Frei
00839;20110105;20250506;27;53.7575;10.9288;Carlow;Mecklenburg-Vorpommern;Frei
00840;19900611;20250505;895;50.4313;12.6114;Carlsfeld;Sachsen;Frei
00848;20080801;20250506;38;52.6146;10.0726;Celle (Stadt);Niedersachsen;Frei
00850;19930301;20250505;39;52.5959;10.0296;Celle;Niedersachsen;Frei
00851;19510101;19860531;391;49.2505;12.6044;Pemfling-Pitzling;Bayern;Frei
00852;19860601;20030331;430;49.2123;12.5668;Cham-Wulfing;Bayern;Frei
00853;19750701;20250428;416;50.7913;12.8720;Chemnitz;Sachsen;Frei
00856;19790101;20250505;551;47.8843;12.5404;Chieming;Bayern;Frei
00857;20050201;20250506;535;47.8665;12.3950;Chiemsee-Herrenchiemsee;Bayern;Frei
00860;20231001;20250505;80;52.2731;10.0163;Algermissen-Groß Lobke;Niedersachsen;Frei
00863;20071001;20120403;585;51.7904;10.3470;Clausthal-Zellerfeld;Niedersachsen;Frei
00865;19610101;19701231;42;52.8441;8.0624;Cloppenburg;Niedersachsen;Frei
00867;19490101;20250505;344;50.3066;10.9679;Lautertal-Oberlauter;Bayern;Frei
00871;20050801;20250506;87;51.9618;7.1585;Coesfeld;Nordrhein-Westfalen;Frei
00874;20050801;20250506;52;52.2994;11.6733;Zielitz;Sachsen-Anhalt;Frei
00876;19750701;19901231;314;51.3040;13.0096;Collmberg;Sachsen;Frei
00879;19790101;20030611;68;51.7667;14.2833;Cottbus (Flugplatz);Brandenburg;Frei
00880;19830103;20250505;69;51.7759;14.3168;Cottbus;Brandenburg;Frei
00885;20050601;20250506;450;49.8449;11.6160;Creußen-Bühl;Bayern;Frei
00888;19910101;19961231;269;50.8149;12.3821;Crimmitschau;Sachsen;Frei
00891;19490101;20250505;5;53.8713;8.7060;Cuxhaven;Niedersachsen;Frei
00896;20040801;20250505;170;51.0778;10.8619;Dachwig;Thüringen;Frei
00902;20061001;20250506;573;50.4115;6.5615;Dahlem-Schmidtheim;Nordrhein-Westfalen;Frei
00906;19790101;19840827;8;54.2023;11.0914;Dahmeshöved;Schleswig-Holstein;Frei
00909;19860101;19931130;54;54.0551;10.2984;Damsdorf;Schleswig-Holstein;
00917;20040901;20250505;162;49.8809;8.6779;Darmstadt;Hessen;Frei
00919;19580101;19720101;169;49.8697;8.6796;Darmstadt-Botanischer Garten;Hessen;Frei
00920;19490101;19870929;108;49.8564;8.5929;Darmstadt (US-Air-Base);Hessen;Frei
00921;20040911;20120731;352;50.0450;6.1369;Dasburg/Our;Rheinland-Pfalz;
00922;20060101;20250506;460;48.3950;11.0594;Dasing;Bayern;Frei
00927;19851001;20001231;430;50.1957;6.8279;Daun;Rheinland-Pfalz;
00931;20041019;20250506;712;47.8007;9.4108;Deggenhausertal-Azenweiler;Baden-Württemberg;Frei
00933;20030428;20250506;585;48.0368;11.5777;Deisenhofen, Kreis München;Bayern;Frei
00934;20041001;20250506;88;51.7835;8.5658;Delbrück;Nordrhein-Westfalen;Frei
00940;19510101;19701231;518;48.9167;11.4500;Denkendorf;Bayern;Frei
00942;20041101;20250506;308;50.1220;6.5990;Densborn;Rheinland-Pfalz;Frei
00950;19790101;19930326;194;51.9500;8.9000;Detmold;Nordrhein-Westfalen;
00953;19500701;20250505;481;49.7619;7.0542;Deuselbach;Rheinland-Pfalz;Frei
00954;19790101;20250505;0;54.1796;7.4587;UFS Deutsche Bucht;Hamburg;Frei
00961;20040701;20250506;258;51.4743;9.0039;Diemelstadt-Rhoden;Hessen;Frei
00962;20040501;20250506;326;50.8018;11.1692;Stadtilm-Dienstedt;Thüringen;Frei
00963;19920513;20250505;38;52.5881;8.3424;Diepholz;Niedersachsen;Frei
00966;20060201;20250506;65;52.7522;10.8831;Diesdorf;Sachsen-Anhalt;Frei
00970;20021101;20250506;405;49.4158;10.6734;Dietenhofen;Bayern;Frei
00974;20060901;20250506;440;51.5307;11.0457;Südharz-Dietersdorf;Sachsen-Anhalt;Frei
00977;20040901;20121001;377;50.8541;8.3416;Dietzhölztal-Mandeln;Hessen;Frei
00978;20050201;20250506;155;50.3574;8.0485;Holzheim bei Diez;Rheinland-Pfalz;Frei
00979;20040901;20230313;314;50.7364;8.2672;Dillenburg;Hessen;Frei
00981;19820501;20011231;193;49.3531;6.7490;Dillingen (Saar);Saarland;
00982;19760101;19780601;420;48.5701;10.4985;Dillingen/Donau;Bayern;Frei
00983;20061201;20250505;419;48.5562;10.5600;Dillingen/Donau-Fristingen;Bayern;Frei
00985;20060101;20250506;492;49.0504;10.2892;Dinkelsbühl-Oberwinstetten;Bayern;Frei
00988;20050901;20250506;27;52.6746;8.1137;Dinklage;Niedersachsen;Frei
00989;20050201;20250506;46;51.5765;6.7849;Dinslaken;Nordrhein-Westfalen;Frei
00991;20050201;20250505;359;50.9116;13.7087;Dippoldiswalde-Reinberg;Sachsen;Frei
